"trial","maxDT_veg","minDT_veg","maxNT_veg","minNT_veg","DTR_veg","SU_veg","WSDI_veg","CSDI_veg","T10p_veg","T90p_veg","maxDT_flo","minDT_flo","maxNT_flo","minNT_flo","DTR_flo","WSDI_flo","CSDI_flo","T10p_flo","T90p_flo","maxDT_gra","minDT_gra","maxNT_gra","minNT_gra","DTR_gra","WSDI_gra","CSDI_gra","T10p_gra","T90p_gra","hts_mean_19_flo","hts_max_26_flo"
"CRI_05_2018",28.1155029296875,24.9301696777344,21.2484375,20.5825788225447,5,0,1,2,20.7635489327567,27.5944608415876,27.8443651471819,25.2721496582031,21.0175785609654,20.5844665527344,5,1,1.28571428571429,20.6043840680804,27.1150081089565,27.9460388183594,25.1170353480748,21.264794921875,20.5502563476563,5,2,2,20.6409997122629,27.393059866769,1,0.912087912087912
"CRI_10_2017",26.4849719503652,22.8765363610309,20.9241212264352,19.392489093283,4.26086956521739,0,2.28260869565217,1.84782608695652,19.861426378333,26.058334947669,26.2130901834239,24.6826256793479,20.3703213899032,19.1773341966712,4.95652173913043,1.41304347826087,1.73913043478261,19.5151801731276,26.0155625053074,27.4362745202106,24.2183431874151,20.3778943932575,18.6671784774117,5.8695652173913,2.02173913043478,2.28260869565217,18.9447783760403,26.7416944420856,1,0.139751552795031
"CRI_12_2017",27.6757312309451,24.3771658548495,22.4808281130907,20.0556244640816,4.07317073170732,0,2.04878048780488,2.34146341463415,20.5972518548733,27.0487414104183,27.4037488983899,24.5176367782965,21.8685703184547,20.5609970464939,4.26829268292683,1.60975609756098,1.68292682926829,20.782858127501,26.9075080685499,28.0488316977897,24.1646578160728,21.9642786537729,20.3442515303449,4.75609756097561,1.75609756097561,2.60975609756098,20.7671874255669,27.6534280172209,1,0.45791119449656
"CRI_12_2018",28.8629699707031,26.3088092306386,22.847159211532,20.9891588293988,5.52173913043478,0.0434782608695652,1.04347826086957,1.47826086956522,21.5732874331267,28.6631192414657,29.209999946926,26.9478937563689,22.497693136464,21.3894870923913,5.78260869565217,1.56521739130435,1.08695652173913,21.6026925791865,28.6840580152429,31.3428071395211,26.9027794879416,23.2233905294667,21.3465687627378,6.43478260869565,3.39130434782609,1.47826086956522,21.6572365138842,30.3838884436566,1,0.922798216276477
"HND_05_2017",25.9884210696166,20.2337809946345,18.0020512021822,16.2937918827452,6.1264367816092,0,1.98850574712644,1,16.7003816451149,25.5631855580999,25.8541454797504,22.6303295617816,18.3683203686243,16.8106958148124,6.98850574712644,1.01149425287356,1.01149425287356,17.0794235054104,25.6639274860251,27.3047490963991,20.2372522814521,18.9597292845277,16.5540889345367,6.97701149425287,4.83908045977012,1.02298850574713,16.8808033208737,26.6692523123205,0.999361430395913,0.0874657909140667
"HND_06_2017",27.1133613137638,21.0469191607307,17.9556231330423,15.6922079647289,6.52941176470588,0.411764705882353,3.41176470588235,1.23529411764706,16.410915778665,25.4589978386374,24.6147902544807,21.8888381060432,17.6085844152114,16.1508368997013,6.05882352941176,1.41176470588235,1.05882352941176,16.432252592199,24.294455315085,25.8640991210938,21.0039755428539,17.7771312040441,15.5517947926241,6.35294117647059,4.23529411764706,2.94117647058824,16.2621011173024,24.7594713996439,0.983660130718954,0.0420168067226891
"HND_10_2016",28.0071457321579,21.3525750237542,19.357075954128,15.8855777224979,6.10810810810811,2.16216216216216,2.72972972972973,2.35135135135135,16.8971843822582,26.7478875237542,27.5544751966322,21.0028815192145,18.6665142987226,15.5816251187711,6.67567567567568,1.7027027027027,1.51351351351351,16.2439688192832,26.657313083958,28.9002294591955,19.953099926098,19.0462008089633,14.5868733174092,7,2.67567567567568,2.59459459459459,15.9456039841111,27.1888473098343,0.807524218360132,0.255949828743946
"HND_10_2017",28.4201192220052,21.5579738328437,19.9484757367302,16.6616552101798,6.25070028011204,0.679271708683473,1.97058823529412,1.90896358543417,17.6732834759881,27.2952596926222,25.7609930043795,19.2823284245339,19.0109873197326,15.1641019591431,5.03921568627451,1.53081232492997,1.09943977591036,15.9816834863828,24.8769080453227,25.9321281454476,16.6022697555585,19.1449885520615,13.7881669415813,5.01540616246499,2.34593837535014,2.71148459383754,15.216365363284,24.5689767362023,0.775074930843344,0.103509695296135
"HND_SLV_09_2015",28.0166308987525,20.864640561996,19.2964239305066,17.2896057128906,6.38709677419355,3,1.90322580645161,1.7741935483871,17.9452283305507,27.2027282714844,26.8609666393649,24.1312923308342,18.7312629945817,16.6256751275832,7.06451612903226,1.45161290322581,1.7741935483871,17.3194157754221,26.5847481020035,28.160782155683,23.1207125756048,19.0574004142515,15.4395336520287,7.35483870967742,2.45161290322581,3.67741935483871,16.9593889790197,27.1504596341041,0.892812676853424,0.433025336293588
"NIC_06_2016",28.6983359126721,22.8528189966234,21.2148521294028,19.5172787423861,6.15254237288136,0.338983050847458,1,1.88135593220339,19.8734073962196,28.4379449359441,29.1257785603152,25.5379505222127,20.8576381877317,19.5878214173398,7.06779661016949,1.03389830508475,1.50847457627119,19.9219292074947,28.6146731101861,29.4301096770723,24.6939920716367,21.3556426484706,19.4524361303297,7,2.91525423728814,1.86440677966102,19.7785762463586,29.014119138556,1,0.890114969775987
"NIC_09_2015",29.6821334324526,24.7712903654977,21.7954532580429,19.5327944637685,6.76404494382022,1.17977528089888,1.65168539325843,1.65730337078652,19.8951507739807,29.0338928394103,28.2790798915906,25.7806873793013,20.9902004970593,19.2183092781667,6.57865168539326,1.15168539325843,1.19101123595506,19.4470015793704,28.0271228404527,28.5456922552559,23.2203825875615,21.1507395883624,17.7204362504938,6.34269662921348,2.34269662921348,3.20224719101124,19.0798148337375,27.9731807065814,1,0.86121023171585
"NIC_09_2016",30.4348703095407,26.4186885949337,22.0934405702533,19.9575300736861,6.51515151515152,1.81818181818182,1.84848484848485,2,20.6646956935074,29.5857097278942,28.8100007028291,24.820068729285,21.5116941509825,19.4102981104995,5.90909090909091,1.03030303030303,1.6969696969697,19.9739932898319,28.4361702658914,29.0424641927084,24.9085650819721,21.7336318507339,18.3952510949337,6.12121212121212,3.33333333333333,1.51515151515152,18.9701518665661,28.3576403068774,1,0.805749805749806
"NIC_12_2015",28.3312809337269,23.8400472972019,20.9481606097261,17.0336535871522,6.14876033057851,0.413223140495868,2.1095041322314,1.79752066115702,18.3328227839194,27.2997330846865,28.5386276371223,23.6455763635557,20.3146463945878,16.1690898422368,7.13429752066116,1.12809917355372,1.58264462809917,17.2282497752797,27.8243257443767,29.6397142772832,23.3189148831959,20.8605517048481,15.6870681006061,7.38429752066116,2.32851239669421,2.1095041322314,17.3199699212697,28.4115034371368,0.983563914546535,0.561184357457753
"NIC_12_2016",28.2706982193706,21.2898886422131,19.6880677410375,15.0169750748394,6.03738317757009,0.392523364485981,3.35514018691589,1.93457943925234,16.7906310179523,26.2292300500602,28.2555660639968,24.501177522178,19.5156431394203,15.696489166545,7.67289719626168,1.83177570093458,1.22429906542056,16.9189528420707,27.6275519255166,31.0452406268254,23.523421984521,19.8545100417093,14.8983977415852,7.78504672897196,4.28971962616822,2.14018691588785,16.6287678085755,28.4257673887449,0.993113625184456,0.50043815443869
